순위,키워드,최대 TF-IDF,평균 TF-IDF,편차
1,여행,1.0,0.05693321584156753,0.9430667841584325
2,우동,0.9161622866205068,0.002819517587055761,0.913342769033451
3,수제비,0.9120442603508416,0.0008000388248691593,0.9112442215259725
4,곱창,0.912551142824339,0.0022982914222159675,0.9102528514021231
5,복산,0.8694228622689156,0.0007626516335692243,0.8686602106353464
6,라멘,0.8685523831116783,0.0009518940361948466,0.8676004890754834
7,족발,0.8706894579212328,0.003915732740767425,0.8667737251804654
8,고래,0.8811595343444231,0.02888722149937266,0.8522723128450505
9,가수,0.8386367845929622,0.0014563849141433004,0.8371803996788189
10,삼동면,0.8326979081531566,0.0007304367615378566,0.8319674713916188
11,석송,0.8299786567271448,0.0007280514532694252,0.8292506052738754
12,겨울,0.8325131487384174,0.0032769196722390224,0.8292362290661784
13,소문,0.8252017041518467,0.001205210746081754,0.823996493405765
14,유후,0.8233682273916163,0.0007222528310452775,0.822645974560571
15,훠궈,0.822518266243226,0.0007215072510905491,0.8217967589921354
16,목장,0.8156108188057941,0.0014392055356298142,0.8141716132701643
17,시장,0.813231146064658,0.0037891900055565973,0.8094419560591014
18,농소,0.8106353097964486,0.0014663585909642732,0.8091689512054844
19,삼계탕,0.8076367215662379,0.0011566494058535806,0.8064800721603843
20,범서읍,0.8053506051581989,0.0012314710749300002,0.8041191340832688
21,고기,0.8085287994538384,0.0065631978740842995,0.801965601579754
22,남성,0.802122677898652,0.0007036163841216246,0.8014190615145304
23,학산동,0.8006922486295274,0.0007023616216048485,0.7999898870079225
24,병영,0.8013367460276805,0.002103428716467264,0.7992333173112132
25,속초,0.7986939971383812,0.0007006087694196326,0.7979933883689615
26,양평,0.7958196609671486,0.0006980874219010075,0.7951215735452476
27,찜질방,0.7950690860792977,0.0015625519359838832,0.7935065341433138
28,전복,0.7957369499336961,0.004183631964512251,0.7915533179691839
29,간절곶,0.8055896295624283,0.017160520615758245,0.7884291089466701
30,소원,0.7885031160185805,0.0018034919332480595,0.7866996240853324
31,수암동,0.7840444520099886,0.0006877582912368321,0.7833566937187518
32,댑싸리,0.7897095744947279,0.008811341153874623,0.7808982333408533
33,순도,0.7826018241072425,0.002554225404375372,0.7800475987028672
34,할리스,0.7798064027100065,0.0006840407041315847,0.7791223620058748
35,신불산,0.7789722032001729,0.0011873572152020645,0.7777848459849709
36,소떡,0.778233736149799,0.0006826611720612271,0.7775510749777378
37,콩나물국,0.7774291757258085,0.0009207491531454973,0.776508426572663
38,선수,0.7766170385438541,0.0010073532460019095,0.7756096852978522
39,짬뽕,0.7735133192714301,0.0013945135992365159,0.7721188056721936
40,식물원,0.7705282818248362,0.0011456180776461403,0.7693826637471901
41,오랜만,0.7712483322703364,0.0048000164925575,0.7664483157777789
42,큰애기,0.7664396751040867,0.0008428667350462713,0.7655968083690404
43,뮤지컬,0.7587548643499166,0.0008262282673361558,0.7579286360825804
44,새우,0.7591144414308924,0.0011868668606748666,0.7579275745702175
45,펜션,0.7610481960133009,0.008108255778236562,0.7529399402350643
46,봄꽃,0.7534502605030328,0.0006609212811430112,0.7527893392218897
47,동굴,0.7620613570868889,0.010146252775258933,0.75191510431163
48,반려,0.7509975547433496,0.0015313794934377263,0.7494661752499119
49,카페,0.7808183002530845,0.03541472795459009,0.7454035722984944
50,선물,0.7569462813840941,0.012828061296763513,0.7441182200873306
51,언양읍,0.7453311611179182,0.001960662036099066,0.7433704990818192
52,소나무,0.7426268823569682,0.0016339038128678988,0.7409929785441003
53,무궁화,0.739477238645943,0.0006486642444262658,0.7388285744015167
54,황리,0.7392502376104853,0.0008276567188176504,0.7384225808916676
55,막국수,0.7371435160602734,0.0007830952416137059,0.7363604208186597
56,축제,0.7497035418273084,0.013656307265931604,0.7360472345613768
57,심우정,0.7359817476137324,0.0006455980242225722,0.7353361495895098
58,디비,0.7354562509809233,0.0006451370622639678,0.7348111139186593
59,아몬드,0.7305732541667377,0.0008342112315154393,0.7297390429352223
60,제주,0.7321157316405148,0.002572803080030765,0.7295429285604841
61,밀면,0.731646525539212,0.0030296556602978425,0.728616869878914
62,끼니,0.7286168664527024,0.0006391376021514933,0.7279777288505509
63,국밥,0.7297273883089852,0.00485683038945685,0.7248705579195284
64,억새,0.7246069044970321,0.0013240906868856508,0.7232828138101465
65,오빠,0.7246636796506875,0.0020983525043118895,0.7225653271463756
66,횟집,0.7243815145013542,0.0038180735640738262,0.7205634409372804
67,농부,0.7215696925192667,0.0013203091505830159,0.7202493833686837
68,스퀘어,0.7199443099969195,0.0006315300964885259,0.719312779900431
69,기도,0.7182257969553558,0.0007696781823267216,0.7174561187730291
70,선도,0.7172425414309384,0.003529673742841434,0.7137128676880969
71,부산,0.7243735670691511,0.01078556080581109,0.7135880062633401
72,염포,0.7143141533925954,0.0011404616477599843,0.7131736917448355
73,보트,0.7147552515859127,0.0023610989310746105,0.7123941526548381
74,태화강역,0.7129936639626044,0.002309286447561476,0.710684377515043
75,브런치,0.7156692041771828,0.005401699085128212,0.7102675050920546
76,막창,0.7104872690303329,0.0008637460061565194,0.7096235230241763
77,해산물,0.7100891300366186,0.003663191601234381,0.7064259384353841
78,동물원,0.7083080278809529,0.0028219621411966728,0.7054860657397563
79,텀블러,0.7042546833828883,0.0006177672661253406,0.7036369161167629
80,율리,0.7036758044251005,0.0006172594775658776,0.7030585449475346
81,연안,0.701985565867412,0.0008013846912682613,0.7011841811761438
82,북구,0.7100250004320924,0.009513245029164051,0.7005117554029283
83,통도사,0.7038523914843613,0.00399192999084319,0.6998604614935181
84,대왕암,0.7213359093352989,0.021577424036028754,0.6997584852992701
85,케이크,0.701648558679981,0.0022361346848492445,0.6994124239951317
86,운동,0.7016751518808105,0.002843948651078963,0.6988312032297316
87,헬스,0.6986185692426656,0.0011256552327432343,0.6974929140099224
88,호피,0.6975952847430316,0.0016616757095572518,0.6959336090334743
89,관리,0.6939641456350549,0.0016122779532637649,0.6923518676817911
90,추어탕,0.6924402796664465,0.0006074037540933741,0.6918328759123531
91,범서,0.6926794796310677,0.001127737333444621,0.6915517422976231
92,화학,0.6907645197569492,0.0006059337892604817,0.6901585859676888
93,일기,0.6915152078505387,0.003999721429732367,0.6875154864208063
94,공룡,0.6888151727306044,0.0013179277862576087,0.6874972449443468
95,아트,0.6899725545991829,0.004050325669893181,0.6859222289292898
96,이벤트,0.6871687945061212,0.0024867089926501364,0.6846820855134711
97,핑크,0.6849059393937654,0.001444382131458339,0.6834615572623071
98,설빙,0.6839960896015455,0.000599996569825917,0.6833960930317196
99,누리,0.6841932560320045,0.0008173276835087914,0.6833759283484957
100,정자,0.6862375517963434,0.0029154762327165485,0.6833220755636268
101,계곡,0.684641104861299,0.0023133107334130155,0.682327794127886
102,만두전골,0.6826650273433421,0.0005988289713538088,0.6820661983719883
103,생면,0.6829556662548675,0.002094571328045167,0.6808610949268223
104,박부,0.6805606412579991,0.0011829399533878134,0.6793777013046113
105,피크닉,0.6788760759300878,0.0012176420859308435,0.6776584338441569
106,현지,0.6800046330351521,0.003976902937107116,0.6760277300980451
107,강화,0.6746806348343876,0.0005918251182757785,0.6740888097161117
108,지안,0.6736504062271466,0.0005909214089711811,0.6730594848181753
109,신정,0.6749561153244285,0.002773299740273841,0.6721828155841546
110,딸기,0.6726175856068742,0.0010574062678449965,0.6715601793390292
111,뷔페,0.6719140419858459,0.0024758477165673413,0.6694381942692785
112,머스,0.6654869155367896,0.0008292387000589253,0.6646576768367307
113,아기,0.6689822048324731,0.005381658300010634,0.6636005465324625
114,응모,0.6639050127793751,0.0011627933206526065,0.6627422194587225
115,휴게소,0.6643633821438695,0.002225428857230727,0.6621379532866387
116,명장,0.6625453176507209,0.0005811801032023868,0.6619641375475185
117,정문,0.6610278062723078,0.0008768352673105493,0.6601509710049973
118,정자항,0.6603537462006138,0.0008472134807926019,0.6595065327198212
119,서울,0.6623704720569842,0.0037704443941553893,0.6586000276628288
120,나인,0.6598371335628728,0.0018048591166915846,0.6580322744461812
121,더샵,0.6584467864556115,0.0005775849003996593,0.6578692015552119
122,아구찜,0.6596683408468805,0.002168033574747224,0.6575003072721333
123,울기,0.6579414996665752,0.0007872467193735381,0.6571542529472016
124,캠핑,0.6600579536036858,0.0034262098266583906,0.6566317437770274
125,양고기,0.65718476298011,0.00120848091817433,0.6559762820619356
126,배터리,0.655634768893769,0.0005751182183278676,0.6550596506754411
127,리아,0.6554240809138989,0.0010672232102764204,0.6543568577036225
128,불고기,0.663554322920042,0.009379884221779718,0.6541744386982623
129,봄여름,0.6547478002795498,0.000742289155838063,0.6540055111237117
130,렌트카,0.654552547054511,0.0005741689009250097,0.6539783781535861
131,대공원,0.6590012159423104,0.005828976430473827,0.6531722395118366
132,리무진,0.6531513590257453,0.0005729397886190748,0.6525784192371262
133,베르토,0.6517131753600361,0.0005716782240000317,0.6511414971360361
134,신라,0.6541203613947403,0.003509236895752215,0.6506111244989881
135,명소,0.6611708698745848,0.010671337327688912,0.650499532546896
136,비포,0.650646320521834,0.0005707423864226614,0.6500755781354114
137,기리,0.6494344238830768,0.0005696793191956814,0.6488647445638811
138,골집,0.6491876317804478,0.0005694628348951297,0.6486181689455527
139,세종,0.6489888354712608,0.0005692884521677727,0.6484195470190931
140,버스,0.6530309937815704,0.005187811746520163,0.6478431820350502
141,때기,0.6494067509749978,0.0016634007753805445,0.6477433501996173
