순위,키워드,최대 TF-IDF,평균 TF-IDF,편차
1,가족,0.9702670657416944,0.007228821816059399,0.963038243925635
2,역가,0.9627060775369876,0.000824234655425503,0.9618818428815621
3,한번,0.9585121952093608,0.001012996184515669,0.9574991990248451
4,모음,0.949556657020779,0.001572797930725139,0.9479838590900538
5,여행,1.0,0.07965291683386637,0.9203470831661337
6,과제,0.9194518487707892,0.001030488429431819,0.9184213603413575
7,나중,0.9118124046046288,0.0018891343294122334,0.9099232702752166
8,유빈,0.8909017390416928,0.0007627583382206274,0.8901389807034722
9,전주,0.8350436551036676,0.0022770230118588654,0.8327666320918088
10,시장,0.8292443532604513,0.005526544380369722,0.8237178088800816
11,아기,0.8252469804557988,0.003525744109841423,0.8217212363459574
12,김밥,0.8206324393826665,0.0020266097127658476,0.8186058296699007
13,떡볶이,0.8140340251483862,0.005745853847485134,0.808288171300901
14,펜션,0.8096327716622195,0.0015716234145262016,0.8080611482476933
15,점집,0.8036175092571414,0.000688028689432484,0.8029294805677089
16,키치,0.8028432352405506,0.0008430588381527224,0.8020001764023978
17,칼국수,0.819654326510434,0.020732801899261223,0.7989215246111728
18,메론,0.8004086400198617,0.001624551791795304,0.7987840882280663
19,판암,0.7945351401017562,0.0006802526884432844,0.7938548874133129
20,청주,0.7947072642687533,0.005271199296319978,0.7894360649724332
21,젠지,0.7866838095461788,0.0006735306588580297,0.7860102788873208
22,블로그,0.7884757712110002,0.005446603955696019,0.7830291672553041
23,박이일,0.7830889153448347,0.0006704528384801667,0.7824184625063545
24,대천,0.7829734659739559,0.0006703539948407157,0.7823031119791152
25,취소,0.7822042091234147,0.003455852235937572,0.7787483568874771
26,냉면,0.777261700673836,0.001957373972012334,0.7753043267018237
27,아쿠아리움,0.7790768184592783,0.004163092661696699,0.7749137257975817
28,다구,0.7694393942924594,0.0014292369538426609,0.7680101573386168
29,여행사,0.7679772312947666,0.003495494641014052,0.7644817366537525
30,볼거리,0.7658705916861059,0.0038484464570427103,0.7620221452290632
31,타코,0.7622731937120074,0.0008462345124928105,0.7614269591995146
32,조식,0.7627431194565404,0.0020146264742664263,0.760728492982274
33,장인,0.7557783414916297,0.002014921645988496,0.7537634198456412
34,대청댐,0.7516474291393653,0.0008088743722049517,0.7508385547671603
35,기회,0.7513825141598853,0.0019780659941449866,0.7494044481657404
36,계란,0.7467725357353174,0.0009230461781397099,0.7458494895571777
37,궁동,0.7400740211537079,0.0009303324248328756,0.739143688728875
38,전립,0.7387529386269078,0.0006324939543038595,0.738120444672604
39,스핀,0.7371080922937696,0.0006310856954569945,0.7364770065983126
40,동물,0.7375970106691185,0.0027160238912580952,0.7348809867778604
41,개띠,0.7339360251491264,0.0006283698845454849,0.7333076552645809
42,꿈돌이,0.7500355940929533,0.017898264964773772,0.7321373291281795
43,나무,0.7329665316799625,0.001649380408353574,0.7313171512716089
44,중국어,0.731781093234673,0.0006265249085913296,0.7311545683260817
