순위,키워드,최대 TF-IDF,평균 TF-IDF,편차
1,상노,0.9904516156921932,0.0008567920550970529,0.9895948236370962
2,포토,0.9710114350638284,0.008320325423783676,0.9626911096400447
3,구도심,0.9366556240679562,0.0008102557301625919,0.9358453683377936
4,타르트,0.936061827004788,0.0008097420648830346,0.935252084939905
5,포항,0.9161372620546228,0.0015161500466504805,0.9146211120079722
6,성당,0.8986650013428887,0.0037600473357899114,0.8949049540070988
7,꼬치,0.8904960063801699,0.0014092413016956469,0.8890867650784743
8,떡볶이,0.8926726888680222,0.007528553762409645,0.8851441351056125
9,본리동,0.8853816618821507,0.000765901091593556,0.8846157607905571
10,초등,0.8826562260665626,0.001199756279073989,0.8814564697874886
11,갈비찜,0.8591607480351825,0.002129454646796822,0.8570312933883857
12,곱창,0.8596268775680038,0.0038527790227379515,0.8557740985452659
13,콩국,0.8574401041680275,0.004572375114581306,0.8528677290534462
14,빙수,0.8533278515338816,0.003553478649632082,0.8497743728842495
15,금계국,0.8502125562923427,0.0007354779898722688,0.8494770783024704
16,꿀떡,0.848549295228621,0.0007340391827237206,0.8478152560458972
17,따로국밥,0.839420697582156,0.001475141438513087,0.8379455561436429
18,사고,0.8377522088792352,0.0008450700453442295,0.836907138833891
19,렌트카,0.8380360981485003,0.0014618133364520307,0.8365742848120483
20,까스,0.8288784888972595,0.002822191329966362,0.826056297567293
21,벽돌,0.8231199663811227,0.0007120414934092757,0.8224079248877134
22,펜션,0.8233877997956025,0.001760354439676934,0.8216274453559256
23,특실,0.8192561198801838,0.0007086990656402974,0.8185474208145435
24,점촌,0.8166505273429598,0.0007064450928572317,0.8159440822501026
25,메론,0.8120409156933022,0.003161483036958904,0.8088794326563432
26,수목원,0.8030263347939449,0.00137183644179881,0.8016544983521461
27,다방,0.7908399817488688,0.002924085962627686,0.7879158957862411
28,경기,0.7879925536325116,0.003615868085443784,0.7843766855470679
29,시티투어,0.7840801511197482,0.0014913431580000497,0.7825888079617481
30,부산,0.789279459945676,0.008225797197148164,0.7810536627485279
31,플래너,0.7816210262421835,0.0006761427562648647,0.7809448834859187
32,다이소,0.7754039601498106,0.0014050903132679234,0.7739988698365426
33,도심,0.7675988259623877,0.0014311375958991988,0.7661676883664885
34,뷔페,0.7627577077850806,0.002358917936316081,0.7603987898487645
35,성주,0.7603197511660543,0.002474555723453548,0.7578451954426008
36,반려,0.7550403160178428,0.0011279085957769444,0.7539124074220659
37,크루아상,0.7532001473987875,0.0006515572209332071,0.7525485901778542
38,단팥빵,0.7506183548163984,0.0018129942119995259,0.7488053606043988
39,면회,0.7485644110891041,0.00064754706841618,0.7479168640206879
40,인바,0.7473514428919822,0.0008354894708348775,0.7465159534211473
41,도서관,0.7452973829424401,0.0008696056201761278,0.744427777322264
42,광주,0.7462720273091417,0.001998070441206701,0.744273956867935
43,피플스,0.7436691000684542,0.000643312370301431,0.7430257876981528
44,기찻길,0.7427229345714658,0.0007455720141022093,0.7419773625573636
45,국시,0.738511157571446,0.0006388504823282406,0.7378723070891178
46,축제,0.7446566962595327,0.008158053214571104,0.7364986430449616
47,이팝나무,0.7364174557953514,0.0006370393216222764,0.7357804164737292
48,만두,0.7408197052933639,0.006449052251795332,0.7343706530415686
49,아쿠아리움,0.7394236923207473,0.0051831454151746925,0.7342405469055726
50,치과,0.7318142815058968,0.0007874620587360338,0.7310268194471607
51,김광석,0.7340733638137168,0.0037989667233898233,0.7302743970903269
52,초록,0.7293799931060239,0.0016643737406513764,0.7277156193653724
53,월암동,0.7266718535693054,0.0006286088698696414,0.7260432446994358
54,공모전,0.7267304943888434,0.0009334582625510098,0.7257970361262924
55,유락,0.7248365373972511,0.0006270212261221895,0.7242095161711288
56,일생,0.7247083567442534,0.0011195986767330445,0.7235887580675203
57,탐색,0.7231517753054943,0.0006255638194684207,0.7225262114860259
58,복어,0.7218718484825565,0.0007824164147358135,0.7210894320678206
